Date,User,Message
2020-09-04 16:45:38,"베이스","베이스님이 들어왔습니다.
운영정책을 위반한 메시지로 신고 접수 시 카카오톡 이용에 제한이 있을 수 있습니다."
2020-09-04 16:45:38,"팬다 Jr.","방가워요 공지 확인 부탁드립니다"
2020-09-04 16:45:40,"공지봇_9min","*** 공 지 사 항 ***
 
1. 입장 시 바로 인사/소개 없으면 강퇴입니다.
   ㄴ 사용언어, 서비스, 회사, 직군, 업무, 취준생, 예비 개발자, 학생 등 자신을 나타낼 수 있는 말로 소개해주시면 됩니다.
 
2. 광고/구인구직 모두 운영진과 상의 후 진행 필수, 개인 봇 상의 없이 진행할 경우 강퇴입니다.
 
3. 논쟁거리 또는 불특정 다수를 불편하게 하는 말은 삼가주세요.
 
4. 재입장 시에도 소개 필수입니다.
 
5. 닉네임은 최대한 중복을 피해서 작성 부탁드립니다.
   (. , - 등등 호칭하기 힘든 닉네임은 피해 주세요.)"
2020-09-04 16:45:41,"하민님의 제자 마루","이 이미지의 링크도 https 로 해줘야되요..?"
2020-09-04 16:45:45,"jrjung","어서오세용"
2020-09-04 16:46:17,"베이스","안녕하세요! 프론트엔드 공부하고 있는 학생입니다. 잘 부탁드립니다"
2020-09-04 16:46:50,"jrjung","og:image:secure가 따로 있지 않았던가요 @_@"
2020-09-04 16:47:48,"jrjung","https://ogp.me/#structured"
2020-09-04 16:48:16,"하민님의 제자 마루","og 태그들 다 설정 했는데"
2020-09-04 16:48:18,"하민님의 제자 마루","미리보기가 안보여서"
2020-09-04 16:48:23,"하민님의 제자 마루","뭐가 문제인가 찾는중이었습니다.."
2020-09-04 16:48:38,"쓰리jS","프록시 띄우고 오겠습니다...."
2020-09-04 16:48:45,"쓰리jS","프론트에서 원래 프록시도 띄우나요 근데......ㅎㅎㅎ"
2020-09-04 16:48:47,"쓰리jS","안해봐서 ㅋㅋㅋㅋㅋ"
2020-09-04 16:48:49,"jrjung","og:image:url 에 http 넣고 
og:image:secure_url 에 https 이미지 넣으면 되지 않을까요..?!?"
2020-09-04 16:48:56,"하민님의 제자 마루","음"
2020-09-04 16:48:58,"하민님의 제자 마루","한번 해봐야겠네요"
2020-09-04 16:49:02,"하민님의 제자 마루","근데 이미지를 잘못넣었다고"
2020-09-04 16:49:05,"하민님의 제자 마루","이미지만 안보이는게 아니라"
2020-09-04 16:49:05,"jrjung","음... 미들웨어 정도까지는 하는 것 같은데.."
2020-09-04 16:49:09,"jrjung","제가.. 프론트만 안해서 잘;;"
2020-09-04 16:49:09,"하민님의 제자 마루","아예 미리보기가 안떠버려요?"
2020-09-04 16:49:14,"카카루","og 태그를"
2020-09-04 16:49:15,"죠셉","혹시 카톡이신가요"
2020-09-04 16:49:17,"카카루","어느 시점에"
2020-09-04 16:49:19,"하민님의 제자 마루","카톡 슬랙"
2020-09-04 16:49:19,"카카루","삽입하시나요?"
2020-09-04 16:49:21,"하민님의 제자 마루","두곳다 안뜨더라고요"
2020-09-04 16:49:24,"하민님의 제자 마루","ssr 에서"
2020-09-04 16:49:26,"죠셉","카카오톡은"
2020-09-04 16:49:26,"하민님의 제자 마루","삽입합니다"
2020-09-04 16:49:35,"죠셉","캐쉬삭제메뉴 따로있어요"
2020-09-04 16:49:39,"하민님의 제자 마루","다른 페이지는 다 잘뜨는데 한곳만 안떠서.."
2020-09-04 16:50:04,"하민","hoxy"
2020-09-04 16:50:46,"하민님의 제자 마루","meta description content 에 html special chars 포함된거 말고는"
2020-09-04 16:50:47,"하민님의 제자 마루","다른게 없는데"
2020-09-04 16:50:49,"하민님의 제자 마루","이게 문제인가요?"
2020-09-04 16:51:13,"하민","ussr 돌리는 서버를 cloudfront 를 통해서 캐싱한다 칠때, 이용자 개별적으로 보여지는 콘텐츠는 들어가면 안되겠죠?"
2020-09-04 16:51:40,"문성주","cf에 "
2020-09-04 16:51:47,"문성주","파라미터만 제끼면 다른 사람꺼도"
2020-09-04 16:51:49,"문성주","볼수있는거네요"
2020-09-04 16:51:52,"하민","지금 엄청 고민중인게"
